time,open,high,low,close
2021-04-14T22:00:00Z,84.122,84.19,84.12,84.172
2021-04-14T23:00:00Z,84.172,84.18,84.102,84.12
2021-04-15T00:00:00Z,84.12,84.269,84.096,84.264
2021-04-15T01:00:00Z,84.264,84.297,84.042,84.116
2021-04-15T02:00:00Z,84.116,84.12,84.028,84.048
2021-04-15T03:00:00Z,84.048,84.068,83.929,83.984
2021-04-15T04:00:00Z,83.984,83.995,83.884,83.917
2021-04-15T05:00:00Z,83.917,84.081,83.914,84.03
2021-04-15T06:00:00Z,84.03,84.202,84.026,84.146
2021-04-15T07:00:00Z,84.146,84.399,84.138,84.363
2021-04-15T08:00:00Z,84.363,84.414,84.328,84.351
2021-04-15T09:00:00Z,84.351,84.362,84.273,84.307
2021-04-15T10:00:00Z,84.307,84.308,84.23,84.238
2021-04-15T11:00:00Z,84.238,84.292,84.22,84.25
2021-04-15T12:00:00Z,84.25,84.382,84.224,84.26
2021-04-15T13:00:00Z,84.26,84.322,84.218,84.245
2021-04-15T14:00:00Z,84.245,84.326,84.118,84.322
2021-04-15T15:00:00Z,84.322,84.324,84.16,84.253
2021-04-15T16:00:00Z,84.253,84.266,84.226,84.239
2021-04-15T17:00:00Z,84.239,84.239,84.176,84.222
2021-04-15T18:00:00Z,84.222,84.28,84.222,84.26
2021-04-15T19:00:00Z,84.26,84.297,84.22,84.292
2021-04-15T20:00:00Z,84.292,84.318,84.272,84.3
2021-04-15T21:00:00Z,84.3,84.338,84.25,84.294
2021-04-15T22:00:00Z,84.294,84.32,84.256,84.267
2021-04-15T23:00:00Z,84.267,84.296,84.233,84.25
2021-04-16T00:00:00Z,84.25,84.256,84.146,84.171
2021-04-16T01:00:00Z,84.171,84.268,84.128,84.187
2021-04-16T02:00:00Z,84.187,84.202,84.079,84.172
2021-04-16T03:00:00Z,84.172,84.222,84.161,84.162
2021-04-16T04:00:00Z,84.162,84.203,84.146,84.203
2021-04-16T05:00:00Z,84.203,84.296,84.166,84.296
2021-04-16T06:00:00Z,84.296,84.303,84.164,84.202
2021-04-16T07:00:00Z,84.202,84.369,84.192,84.33
2021-04-16T08:00:00Z,84.33,84.33,84.221,84.274
2021-04-16T09:00:00Z,84.274,84.314,84.232,84.304
2021-04-16T10:00:00Z,84.304,84.364,84.279,84.333
2021-04-16T11:00:00Z,84.333,84.379,84.276,84.329
2021-04-16T12:00:00Z,84.329,84.361,84.256,84.315
2021-04-16T13:00:00Z,84.315,84.322,84.164,84.194
2021-04-16T14:00:00Z,84.194,84.244,84.16,84.176
2021-04-16T15:00:00Z,84.176,84.212,84.118,84.135
2021-04-16T16:00:00Z,84.135,84.161,84.119,84.15
2021-04-16T17:00:00Z,84.15,84.162,84.118,84.13
2021-04-16T18:00:00Z,84.13,84.146,84.105,84.122
2021-04-16T19:00:00Z,84.122,84.154,84.092,84.118
2021-04-16T20:00:00Z,84.118,84.237,84.094,84.16
2021-04-18T21:00:00Z,84.16,84.16,84.024,84.038
2021-04-18T22:00:00Z,84.038,84.108,84.004,84.006
2021-04-18T23:00:00Z,84.006,84.006,83.862,83.863
2021-04-19T00:00:00Z,83.863,83.996,83.815,83.854
2021-04-19T01:00:00Z,83.854,83.926,83.752,83.85
2021-04-19T02:00:00Z,83.85,84.004,83.835,83.952
2021-04-19T03:00:00Z,83.952,84.003,83.924,83.973
2021-04-19T04:00:00Z,83.973,84.095,83.973,84.058
2021-04-19T05:00:00Z,84.058,84.062,83.956,83.97
2021-04-19T06:00:00Z,83.97,84.06,83.9,84.035
2021-04-19T07:00:00Z,84.035,84.06,83.958,84.054
2021-04-19T08:00:00Z,84.054,84.141,83.962,84.076
2021-04-19T09:00:00Z,84.076,84.105,84.026,84.085
2021-04-19T10:00:00Z,84.085,84.146,84.058,84.106
2021-04-19T11:00:00Z,84.106,84.142,84.038,84.07
2021-04-19T12:00:00Z,84.07,84.074,83.936,84.041
2021-04-19T13:00:00Z,84.041,84.149,84.028,84.136
2021-04-19T14:00:00Z,84.136,84.141,83.874,83.93
2021-04-19T15:00:00Z,83.93,83.952,83.818,83.86
2021-04-19T16:00:00Z,83.86,83.918,83.794,83.826
2021-04-19T17:00:00Z,83.826,83.875,83.82,83.846
2021-04-19T18:00:00Z,83.846,83.902,83.833,83.876
2021-04-19T19:00:00Z,83.876,83.915,83.823,83.915
2021-04-19T20:00:00Z,83.915,83.927,83.874,83.927
2021-04-19T21:00:00Z,83.927,84.002,83.856,83.858
2021-04-19T22:00:00Z,83.858,83.956,83.853,83.948
2021-04-19T23:00:00Z,83.948,83.962,83.882,83.944
2021-04-20T00:00:00Z,83.944,84.048,83.89,84.036
2021-04-20T01:00:00Z,84.036,84.36,84.016,84.293
2021-04-20T02:00:00Z,84.293,84.34,84.236,84.32
2021-04-20T03:00:00Z,84.32,84.359,84.268,84.342
2021-04-20T04:00:00Z,84.342,84.346,84.244,84.34
2021-04-20T05:00:00Z,84.34,84.44,84.303,84.413
2021-04-20T06:00:00Z,84.413,84.662,84.38,84.654
2021-04-20T07:00:00Z,84.654,84.718,84.602,84.614
2021-04-20T08:00:00Z,84.614,84.626,84.509,84.55
2021-04-20T09:00:00Z,84.55,84.556,84.332,84.368
2021-04-20T10:00:00Z,84.368,84.376,84.16,84.218
2021-04-20T11:00:00Z,84.218,84.354,84.146,84.335
2021-04-20T12:00:00Z,84.335,84.352,84.204,84.278
