time,open,high,low,close
2018-09-07T00:00:00Z,174.69,174.81,165.01,169.79
2018-09-08T00:00:00Z,170.98,195,151.64,159.87
2018-09-09T00:00:00Z,155.03,166.06,148.13,152.93
2018-09-10T00:00:00Z,153.67,156.53,144.43,150.55
2018-09-11T00:00:00Z,151.99,152.4,136,141.65
2018-09-12T00:00:00Z,141.57,141.57,128.23,141.15
2018-09-13T00:00:00Z,141.24,164.54,141.24,163.79
2018-09-14T00:00:00Z,161.51,170,156.5,164.02
2018-09-15T00:00:00Z,164.02,178.8,160,177.97
2018-09-16T00:00:00Z,169.6,177.94,162.01,169
2018-09-17T00:00:00Z,172.04,172.51,146.04,150.75
2018-09-18T00:00:00Z,149.94,164.34,149.01,159.12
2018-09-19T00:00:00Z,163.21,164.01,151.01,161.24
2018-09-20T00:00:00Z,161.37,172.5,156.74,169.53
2018-09-21T00:00:00Z,171.87,193.69,166.89,191
2018-09-22T00:00:00Z,191,194.78,178.03,187
2018-09-23T00:00:00Z,188.59,191.99,182.13,188.65
2018-09-24T00:00:00Z,188.99,188.99,171.52,175.48
2018-09-25T00:00:00Z,173.86,179.58,155,167.51
2018-09-26T00:00:00Z,167.14,169.98,158.9,164.22
2018-09-27T00:00:00Z,164.23,180,162,175.18
2018-09-28T00:00:00Z,175.18,181,166.65,174.93
2018-09-29T00:00:00Z,173.69,185.9,167.01,181.11
2018-09-30T00:00:00Z,181.34,184.99,175,178.75
2018-10-01T00:00:00Z,179.83,181.36,172.12,177.72
2018-10-02T00:00:00Z,178,179.17,172.8,174.43
2018-10-03T00:00:00Z,174.16,174.95,166.28,169.28
2018-10-04T00:00:00Z,169.82,174.51,168.8,170.22
2018-10-05T00:00:00Z,170.22,176.98,168.33,176.2
2018-10-06T00:00:00Z,174.82,177.12,171.08,174.48
2018-10-07T00:00:00Z,174.48,177,171,171.9
2018-10-08T00:00:00Z,172.16,177.16,170.73,175.06
2018-10-09T00:00:00Z,175.04,175.91,172.3,173.3
2018-10-10T00:00:00Z,173.04,173.3,168.89,170.37
2018-10-11T00:00:00Z,169.95,169.95,141.01,143.51
2018-10-12T00:00:00Z,143.5,152.99,141.56,150.09
2018-10-13T00:00:00Z,151.04,158,150,154.95
2018-10-14T00:00:00Z,154.77,156.25,146,148.65
2018-10-15T00:00:00Z,147.51,168.39,145.31,156.94
2018-10-16T00:00:00Z,156.62,159.99,154.41,157.17
2018-10-17T00:00:00Z,156.95,158.77,154.67,156.28
