time,open,high,low,close
1618444800,1.78362,1.78388,1.78138,1.78188
1618448400,1.78188,1.78368,1.78008,1.7829
1618452000,1.7829,1.78501,1.78284,1.78494
1618455600,1.78494,1.78668,1.78452,1.78572
1618459200,1.78572,1.78638,1.78542,1.78598
1618462800,1.78598,1.78599,1.78458,1.78533
1618466400,1.78533,1.78542,1.78271,1.783
1618470000,1.783,1.78337,1.77857,1.77924
1618473600,1.77924,1.77984,1.77672,1.77678
1618477200,1.77678,1.7807,1.77656,1.77925
1618480800,1.77925,1.78046,1.77765,1.77838
1618484400,1.77838,1.78054,1.7777,1.78022
1618488000,1.78022,1.78122,1.77888,1.78004
1618491600,1.78004,1.78008,1.7764,1.77903
1618495200,1.77903,1.78076,1.77668,1.77864
1618498800,1.77864,1.78098,1.77838,1.77916
1618502400,1.77916,1.77932,1.7785,1.77892
1618506000,1.77892,1.78008,1.77862,1.77877
1618509600,1.77877,1.77878,1.77796,1.77834
1618513200,1.77834,1.77956,1.77758,1.7776
1618516800,1.7776,1.77845,1.7771,1.77832
1618520400,1.77832,1.77954,1.77724,1.77837
1618524000,1.77837,1.77839,1.77776,1.77837
1618527600,1.77837,1.77868,1.77794,1.77824
1618531200,1.77824,1.77924,1.7775,1.77913
1618534800,1.77913,1.77988,1.77832,1.77888
1618538400,1.77888,1.78049,1.77856,1.78008
1618542000,1.78008,1.78008,1.77852,1.77933
1618545600,1.77933,1.77988,1.77847,1.7789
1618549200,1.7789,1.77914,1.77694,1.77698
1618552800,1.77698,1.7775,1.77474,1.77491
1618556400,1.77491,1.77642,1.77407,1.77616
1618560000,1.77616,1.77727,1.77572,1.77691
1618563600,1.77691,1.77882,1.77682,1.77863
1618567200,1.77863,1.77932,1.77788,1.77832
1618570800,1.77832,1.78078,1.77772,1.78014
1618574400,1.78014,1.78279,1.77972,1.78206
1618578000,1.78206,1.78366,1.78125,1.78344
1618581600,1.78344,1.78652,1.78336,1.78613
1618585200,1.78613,1.7881,1.78595,1.78764
1618588800,1.78764,1.7879,1.78658,1.78725
1618592400,1.78725,1.78889,1.78698,1.78862
1618596000,1.78862,1.78932,1.78824,1.78924
1618599600,1.78924,1.78998,1.78867,1.78984
1618603200,1.78984,1.7903,1.78671,1.78931
1618779600,1.78931,1.79029,1.78908,1.79012
