index,segments,range,zigzag,pip_multiply
AUDCAD,15,1.6,2,10000
AUDJPY,10,1.2,7,100
AUDUSD,15,1.4,5,10000
BTCGBP,20,4.5,10,1
CADJPY,15,1.2,2,100
DXY,15,1.2,5,1
ETHGBP,18,1.8,5,10
EURAUD,10,1,5,10000
EURCAD,12,1.2,2,10000
EURGBP,15,1,2,10000
EURJPY,18,1.1,2,100
EURNZD,10,1.05,2,10000
EURUSD,12,1.4,2,10000
GBPAUD,12,1.2,4,10000
GBPCAD,12,1.3,0,10000
GBPCHF,18,1.5,5,10000
GBPJPY,18,1.5,2,100
GBPNZD,12,1.5,2,10000
GBPUSD,15,1.8,2,10000
NZDJPY,17,1.05,1,1000
NZDUSD,17,1.05,3,10000
UKX,12,1.2,5,1
US100,15,1.2,2,1
USDCAD,15,1.5,1,10000
USDCHF,15,1.1,1,10000
USDJPY,14,1.2,5,100
XAUUSD,25,1.5,5,10
