time,open,high,low,close
2021-01-09T16:00:00Z,29963.57,30160,29468.01,29986.36
2021-01-09T20:00:00Z,30015.46,30088,29570,29672.92
2021-01-10T00:00:00Z,29674.35,30499,29656.21,29831.18
2021-01-10T04:00:00Z,29844.95,30322,29682,30252
2021-01-10T08:00:00Z,30250.89,30327.54,28840,29105.3
2021-01-10T12:00:00Z,29097.68,29749.99,28500,29307.34
2021-01-10T16:00:00Z,29332.22,29386,27318,27517.37
2021-01-10T20:00:00Z,27546.82,28848,25800,28258
2021-01-11T00:00:00Z,28256,28340,24850,26201.76
2021-01-11T04:00:00Z,26228.57,26702.36,23764.02,25509.55
2021-01-11T08:00:00Z,25509.56,26977.9,25060,25205.86
2021-01-11T12:00:00Z,25177.82,25993.42,22222,23304.55
2021-01-11T16:00:00Z,23304.24,24968.49,21000,23755.74
2021-01-11T20:00:00Z,23739.95,26432,23160,26290.51
2021-01-12T00:00:00Z,26285.24,26336.47,24896.01,25882
2021-01-12T04:00:00Z,25882,27178.3,25566,27007.97
2021-01-12T08:00:00Z,26999.17,27060,25516.01,26050
2021-01-12T12:00:00Z,26050,26300,23806.12,24820.8
2021-01-12T16:00:00Z,24815.08,26050,24806.6,25347.47
2021-01-12T20:00:00Z,25377.87,25670.9,24267.61,24930.44
2021-01-13T00:00:00Z,24934.61,25102.94,23698.04,24661.85
2021-01-13T04:00:00Z,24664.24,25646,24006,25530.19
2021-01-13T08:00:00Z,25514.87,25780,24938.2,25194.17
2021-01-13T12:00:00Z,25197.69,25700,24922,25412.94
2021-01-13T16:00:00Z,25420,26546,25242,26461.95
2021-01-13T20:00:00Z,26462.51,27900,26200.03,27383.94
2021-01-14T00:00:00Z,27386.92,27986,27148,27180
2021-01-14T04:00:00Z,27176,28354.05,26900,28085.99
2021-01-14T08:00:00Z,28079.36,28480,27816,28160.15
2021-01-14T12:00:00Z,28137.26,29398.14,27716,28955.26
2021-01-14T16:00:00Z,28958.35,29288.99,28620,29124.49
2021-01-14T20:00:00Z,29079.93,29156,27888.88,28606.89
2021-01-15T00:00:00Z,28624.67,28970,28106,28246
2021-01-15T04:00:00Z,28252.47,28386,27478,28176
2021-01-15T08:00:00Z,28178,28458,27717.13,27906.95
2021-01-15T12:00:00Z,27902.29,27966,25902.01,26138.69
2021-01-15T16:00:00Z,26110.12,26810,25268,25921.54
2021-01-15T20:00:00Z,25948.99,27335.76,25656.38,27101.51
2021-01-16T00:00:00Z,27101.51,27726.3,26466,26891.4
2021-01-16T04:00:00Z,26958,27180,26169.99,26921.14
2021-01-16T08:00:00Z,26929.33,27948.67,26810,27722
2021-01-16T12:00:00Z,27726,27850,27030,27575.13
2021-01-16T16:00:00Z,27570.51,27749,26696.65,26807.4
2021-01-16T20:00:00Z,26835.26,27126.86,26043.17,26528
2021-01-17T00:00:00Z,26537.88,27036,26190.35,26610
2021-01-17T04:00:00Z,26610,26756,25463.03,25625
2021-01-17T08:00:00Z,25659.28,26120.43,24930.1,26026.01
2021-01-17T12:00:00Z,26009.58,26448,25553.86,26317.1
2021-01-17T16:00:00Z,26299.18,26603.45,26116,26175.17
2021-01-17T20:00:00Z,26191.32,27090,26156,26382
2021-01-18T00:00:00Z,26382,26591.99,25682.01,25878.22
2021-01-18T04:00:00Z,25832,26750,25658,26624.16
2021-01-18T08:00:00Z,26630.05,27095.96,26430,26896.86
2021-01-18T12:00:00Z,26899.58,27648.86,26628.01,26855.06
2021-01-18T16:00:00Z,26855.06,26967.99,26150,26517.05
2021-01-18T20:00:00Z,26513.48,27067.99,26401.68,26970.85
2021-01-19T00:00:00Z,26970.32,27400,26746.02,26835.93
2021-01-19T04:00:00Z,26819.99,27399.99,26610.02,27348.67
2021-01-19T08:00:00Z,27362,27598,27038.07,27416
2021-01-19T12:00:00Z,27416,27599.52,26844.99,27460.17
2021-01-19T16:00:00Z,27460.17,27798,26422.01,26622.76
2021-01-19T20:00:00Z,26606.19,27023.98,26350,26369.21
2021-01-20T00:00:00Z,26350,26682,25666,25701.37
2021-01-20T04:00:00Z,25711.92,26236,25500,26140
2021-01-20T08:00:00Z,26155.23,26302,24850.01,25256.46
2021-01-20T12:00:00Z,25250.85,25814.94,24919.83,25122.82
2021-01-20T16:00:00Z,25122.82,25926,24524.51,25867.01
