time,open,high,low,close
2021-03-31T14:00:00Z,1329.55,1336.98,1325.33,1332.11
2021-03-31T15:00:00Z,1331.85,1344.69,1331.56,1340.89
2021-03-31T16:00:00Z,1342.03,1348,1332,1338.36
2021-03-31T17:00:00Z,1338.56,1346.85,1337.46,1343.88
2021-03-31T18:00:00Z,1344.24,1373,1341.88,1371.64
2021-03-31T19:00:00Z,1370.74,1387.89,1370.74,1379.23
2021-03-31T20:00:00Z,1379.9,1407.06,1372.37,1406.12
2021-03-31T21:00:00Z,1405.52,1411.75,1393.83,1399.97
2021-03-31T22:00:00Z,1398.45,1403.62,1379.28,1379.28
2021-03-31T23:00:00Z,1382.52,1396.36,1382.06,1394.42
2021-04-01T00:00:00Z,1395.4,1405.08,1392.44,1401.51
2021-04-01T01:00:00Z,1400.57,1406.92,1395.29,1406.42
2021-04-01T02:00:00Z,1406.15,1409.38,1394.46,1395.48
2021-04-01T03:00:00Z,1395.33,1396.45,1386.52,1394.17
2021-04-01T04:00:00Z,1393.73,1398.02,1381.24,1392.42
2021-04-01T05:00:00Z,1392.75,1393.35,1386.12,1389.21
2021-04-01T06:00:00Z,1390,1400.78,1390,1392.9
2021-04-01T07:00:00Z,1392.42,1404.41,1389.53,1400.05
2021-04-01T08:00:00Z,1399.53,1426,1399.28,1412.84
2021-04-01T09:00:00Z,1411.65,1421.7,1406.09,1408.96
2021-04-01T10:00:00Z,1408.72,1412.76,1398.92,1401.83
2021-04-01T11:00:00Z,1401.56,1401.61,1385.58,1393.6
2021-04-01T12:00:00Z,1393.47,1398.46,1387.47,1394.2
2021-04-01T13:00:00Z,1394.24,1407.14,1394.24,1401.97
2021-04-01T14:00:00Z,1402.27,1402.49,1391.74,1399.95
2021-04-01T15:00:00Z,1399.88,1410.62,1399.23,1408.1
2021-04-01T16:00:00Z,1408.62,1417.47,1403.05,1410.68
2021-04-01T17:00:00Z,1410.09,1423.44,1396.95,1402.23
2021-04-01T18:00:00Z,1401.4,1429.99,1365.92,1422.82
2021-04-01T19:00:00Z,1422.99,1434.99,1418.6,1428.52
2021-04-01T20:00:00Z,1428.63,1434.99,1422.52,1424.34
2021-04-01T21:00:00Z,1424.34,1427.77,1410.89,1421.08
2021-04-01T22:00:00Z,1420.36,1426.27,1413.73,1426.02
2021-04-01T23:00:00Z,1425.59,1430.66,1423.16,1424.18
2021-04-02T00:00:00Z,1425.69,1427.05,1409.4,1416.64
2021-04-02T01:00:00Z,1415.92,1440.93,1415.64,1440.85
2021-04-02T02:00:00Z,1441,1445.99,1432.62,1443.5
2021-04-02T03:00:00Z,1443.5,1449,1434.1,1440.34
2021-04-02T04:00:00Z,1442.5,1442.5,1433.95,1437.89
2021-04-02T05:00:00Z,1438.56,1441.14,1429.63,1435.16
2021-04-02T06:00:00Z,1435.7,1444,1430.52,1443.63
2021-04-02T07:00:00Z,1444,1449.58,1438.72,1443
2021-04-02T08:00:00Z,1442.75,1449.95,1439.44,1439.44
2021-04-02T09:00:00Z,1439.4,1444,1432.93,1443.13
2021-04-02T10:00:00Z,1442.32,1448.33,1438.25,1447.36
2021-04-02T11:00:00Z,1446.82,1452,1443.65,1451.48
2021-04-02T12:00:00Z,1451,1455,1444.01,1450.1
2021-04-02T13:00:00Z,1450.09,1453.03,1432.64,1452.6
2021-04-02T14:00:00Z,1452.2,1499.78,1450.18,1496.91
2021-04-02T15:00:00Z,1496.22,1504.67,1484.53,1499.99
2021-04-02T16:00:00Z,1499.34,1504.63,1480,1487.98
2021-04-02T17:00:00Z,1487.81,1489.56,1476.29,1486.73
2021-04-02T18:00:00Z,1485.59,1492,1481.5,1486.72
2021-04-02T19:00:00Z,1486.61,1497.83,1471.84,1492.99
2021-04-02T20:00:00Z,1492.8,1523.47,1491.44,1514.75
2021-04-02T21:00:00Z,1514.15,1523.2,1506.78,1515.58
2021-04-02T22:00:00Z,1515.04,1529.98,1512.09,1527.32
2021-04-02T23:00:00Z,1527.32,1549.98,1527.32,1542.66
2021-04-03T00:00:00Z,1541.5,1545.75,1520.93,1533.08
2021-04-03T01:00:00Z,1532.28,1532.76,1503.72,1520.06
2021-04-03T02:00:00Z,1519.59,1526.45,1505.29,1523.73
2021-04-03T03:00:00Z,1524.21,1524.45,1510.74,1512.43
2021-04-03T04:00:00Z,1512.4,1520.09,1509.33,1517.61
2021-04-03T05:00:00Z,1518.66,1522.83,1512.82,1522.83
2021-04-03T06:00:00Z,1522.28,1538.42,1519.03,1536.73
2021-04-03T07:00:00Z,1536.9,1537.25,1525.88,1526.25
2021-04-03T08:00:00Z,1526.87,1539.02,1510.01,1517.96
2021-04-03T09:00:00Z,1515.42,1524,1497.45,1524
2021-04-03T10:00:00Z,1524,1529.84,1516.68,1516.68
2021-04-03T11:00:00Z,1516.08,1523.64,1515.69,1516.67
2021-04-03T12:00:00Z,1518.09,1526.87,1511.68,1523.53
2021-04-03T13:00:00Z,1522.74,1533.53,1519.93,1533.53
2021-04-03T14:00:00Z,1532.81,1533.99,1515.84,1516.27
2021-04-03T15:00:00Z,1515.43,1520.79,1502,1502
2021-04-03T16:00:00Z,1502.83,1519.67,1486.15,1502.29
2021-04-03T17:00:00Z,1501.91,1506.15,1468.85,1474.64
2021-04-03T18:00:00Z,1474.51,1502.83,1455.2,1501.75
2021-04-03T19:00:00Z,1502.83,1523.34,1500.62,1523.34
2021-04-03T20:00:00Z,1521.63,1521.63,1483.53,1498.07
2021-04-03T21:00:00Z,1498.12,1513.68,1474.27,1478.64
2021-04-03T22:00:00Z,1479.58,1489.79,1461.1,1478.1
2021-04-03T23:00:00Z,1477.33,1488.88,1459.75,1459.99
2021-04-04T00:00:00Z,1458.4,1471.08,1440,1455.6
2021-04-04T01:00:00Z,1453.96,1465.19,1439.94,1461.99
2021-04-04T02:00:00Z,1462.69,1470.85,1459.76,1459.76
2021-04-04T03:00:00Z,1459.77,1467.28,1451.81,1465.54
2021-04-04T04:00:00Z,1465.89,1469.97,1460.32,1463.39
2021-04-04T05:00:00Z,1465.12,1469.08,1457.45,1462.79
2021-04-04T06:00:00Z,1464.02,1467.07,1455.58,1467
2021-04-04T07:00:00Z,1466.67,1480,1463.46,1480
2021-04-04T08:00:00Z,1480.81,1488.27,1477.13,1482.25
2021-04-04T09:00:00Z,1481.86,1499,1481.52,1496.6
2021-04-04T10:00:00Z,1497.41,1500,1489.4,1494.39
2021-04-04T11:00:00Z,1495.78,1498,1482.32,1484.89
2021-04-04T12:00:00Z,1485.52,1505,1478.1,1500.85
2021-04-04T13:00:00Z,1500.85,1514.64,1500.85,1512.93
2021-04-04T14:00:00Z,1512.67,1519.44,1511.11,1514.63
2021-04-04T15:00:00Z,1514.63,1520,1503.69,1509.69
2021-04-04T16:00:00Z,1509.46,1515.28,1500.05,1506.09
2021-04-04T17:00:00Z,1506.27,1512.36,1504.64,1510.16
2021-04-04T18:00:00Z,1511.09,1512.96,1502.82,1505.78
2021-04-04T19:00:00Z,1505.78,1507.33,1493.9,1496.47
2021-04-04T20:00:00Z,1497.12,1500.01,1485.94,1495.11
2021-04-04T21:00:00Z,1495.11,1505.61,1490.48,1505.34
2021-04-04T22:00:00Z,1503.71,1504.19,1490,1500.91
