time,open,high,low,close
1610532000,1.76589,1.76939,1.76368,1.7692
1610546400,1.7692,1.7692,1.76025,1.76104
1610560800,1.76104,1.76387,1.7595,1.76332
1610575200,1.76332,1.7645,1.76073,1.7614
1610589600,1.7614,1.7624,1.75741,1.75771
1610604000,1.75771,1.76257,1.75602,1.75744
1610618400,1.75744,1.7611,1.75661,1.75998
1610632800,1.75998,1.76328,1.75498,1.75548
1610647200,1.75548,1.75995,1.75504,1.75979
1610661600,1.75979,1.76145,1.7583,1.76108
1610676000,1.76108,1.76388,1.75979,1.76351
1610690400,1.76351,1.76573,1.761,1.76142
1610704800,1.76142,1.76398,1.7605,1.76227
1610719200,1.76227,1.76849,1.76022,1.76217
1610733600,1.76217,1.76461,1.75997,1.76377
1610920800,1.76377,1.76706,1.76199,1.76456
1610935200,1.76456,1.76604,1.76366,1.76487
1610949600,1.76487,1.7661,1.76286,1.7651
1610964000,1.7651,1.7667,1.76336,1.76352
1610978400,1.76352,1.76809,1.76316,1.76798
1610992800,1.76798,1.76944,1.76744,1.76878
1611007200,1.76878,1.77045,1.76506,1.7656
1611021600,1.7656,1.76612,1.76269,1.76516
1611036000,1.76516,1.7677,1.76152,1.76568
1611050400,1.76568,1.76791,1.76366,1.76447
1611064800,1.76447,1.77055,1.76308,1.76986
1611079200,1.76986,1.77253,1.76966,1.77136
1611093600,1.77136,1.77242,1.7688,1.76965
1611108000,1.76965,1.76974,1.76706,1.76758
1611122400,1.76758,1.77216,1.76484,1.77058
1611136800,1.77058,1.77372,1.76772,1.76782
1611151200,1.76782,1.76812,1.75841,1.76346
1611165600,1.76346,1.76362,1.76155,1.76268
1611180000,1.76268,1.7636,1.75984,1.76076
1611194400,1.76076,1.76152,1.75926,1.76126
1611208800,1.76126,1.77056,1.76123,1.76672
1611223200,1.76672,1.76788,1.76336,1.76703
1611237600,1.76703,1.77087,1.76607,1.76942
1611252000,1.76942,1.76964,1.76778,1.76886
1611266400,1.76886,1.77049,1.7674,1.76964
1611280800,1.76964,1.77166,1.769,1.7697
1611295200,1.7697,1.77156,1.767,1.76943
1611309600,1.76943,1.77402,1.76844,1.77012
1611324000,1.77012,1.77309,1.7677,1.773
1611338400,1.773,1.7748,1.77232,1.77405
1611525600,1.77405,1.7752,1.77175,1.7732
1611540000,1.7732,1.77355,1.77046,1.77119
1611554400,1.77119,1.77334,1.7686,1.7706
1611568800,1.7706,1.77249,1.7698,1.77046
1611583200,1.77046,1.77688,1.7697,1.77371
1611597600,1.77371,1.77394,1.7721,1.77304
1611612000,1.77304,1.77427,1.77108,1.77268
1611626400,1.77268,1.77597,1.77211,1.77576
1611640800,1.77576,1.77668,1.77188,1.77492
1611655200,1.77492,1.77514,1.77041,1.7719
1611669600,1.7719,1.77506,1.7704,1.7731
1611684000,1.7731,1.7735,1.77179,1.77296
1611698400,1.77296,1.7747,1.77102,1.77338
1611712800,1.77338,1.77606,1.77338,1.77461
1611727200,1.77461,1.77868,1.77446,1.77794
1611741600,1.77794,1.78189,1.77667,1.78136
1611756000,1.78136,1.78721,1.78034,1.78124
1611770400,1.78124,1.78868,1.7808,1.78618
1611784800,1.78618,1.79207,1.78522,1.78862
1611799200,1.78862,1.79298,1.78759,1.79132
1611813600,1.79132,1.79686,1.79026,1.7945
1611828000,1.7945,1.79708,1.79063,1.7911
1611842400,1.7911,1.7937,1.7873,1.78736
1611856800,1.78736,1.78847,1.78524,1.78682
1611871200,1.78682,1.78974,1.78606,1.78961
1611885600,1.78961,1.7938,1.78923,1.7923
1611900000,1.7923,1.79294,1.7868,1.78756
1611914400,1.78756,1.793,1.78473,1.78692
1611928800,1.78692,1.79432,1.7835,1.79324
1611943200,1.79324,1.79498,1.79098,1.79353
1612130400,1.79353,1.80076,1.79353,1.7967
1612144800,1.7967,1.7969,1.79401,1.79502
1612159200,1.79502,1.79991,1.79291,1.79738
1612173600,1.79738,1.79902,1.79278,1.79378
1612188000,1.79378,1.79579,1.79215,1.79322
1612202400,1.79322,1.79396,1.78878,1.79293
1612216800,1.79293,1.79322,1.78922,1.78948
1612231200,1.78948,1.79589,1.78779,1.7935
1612245600,1.7935,1.79812,1.79316,1.79654
1612260000,1.79654,1.8016,1.79586,1.79696
1612274400,1.79696,1.80013,1.79443,1.79916
1612288800,1.79916,1.79984,1.79548,1.79672
1612303200,1.79672,1.79832,1.79432,1.79607
1612317600,1.79607,1.79726,1.79328,1.79416
1612332000,1.79416,1.79486,1.79027,1.79048
1612346400,1.79048,1.79192,1.78888,1.79184
1612360800,1.79184,1.7935,1.79072,1.79143
1612375200,1.79143,1.79186,1.78872,1.7908
1612389600,1.7908,1.79125,1.78476,1.7848
1612404000,1.7848,1.786,1.78256,1.78364
1612418400,1.78364,1.78372,1.77908,1.78052
1612432800,1.78052,1.7971,1.78037,1.79555
1612447200,1.79555,1.7997,1.79484,1.79881
1612461600,1.79881,1.80011,1.79784,1.79884
1612476000,1.79884,1.80234,1.79736,1.80194
1612490400,1.80194,1.80234,1.79887,1.79904
1612504800,1.79904,1.80045,1.79712,1.7974
1612519200,1.7974,1.80126,1.7958,1.79741
1612533600,1.79741,1.79774,1.78974,1.79055
1612548000,1.79055,1.79113,1.78853,1.78891
1612735200,1.78891,1.7908,1.78774,1.78842
1612749600,1.78842,1.78994,1.78814,1.78892
1612764000,1.78892,1.79013,1.78804,1.78816
1612778400,1.78816,1.78974,1.7843,1.785
1612792800,1.785,1.78664,1.78174,1.78394
1612807200,1.78394,1.78514,1.78284,1.78431
1612821600,1.78431,1.78431,1.78174,1.78302
1612836000,1.78302,1.78389,1.78218,1.78364
1612850400,1.78364,1.7865,1.7815,1.78194
1612864800,1.78194,1.78698,1.78142,1.7846
1612879200,1.7846,1.78843,1.7844,1.78507
1612893600,1.78507,1.78662,1.78465,1.7853
1612908000,1.7853,1.78718,1.7844,1.78674
1612922400,1.78674,1.78776,1.78536,1.78564
1612936800,1.78564,1.79267,1.78337,1.79168
1612951200,1.79168,1.79246,1.7864,1.78858
1612965600,1.78858,1.79261,1.78699,1.79068
1612980000,1.79068,1.79269,1.79014,1.79176
1612994400,1.79176,1.79251,1.79035,1.79194
1613008800,1.79194,1.79224,1.78866,1.78875
1613023200,1.78875,1.78875,1.78435,1.78632
1613037600,1.78632,1.78674,1.78104,1.78138
1613052000,1.78138,1.78232,1.77916,1.78182
1613066400,1.78182,1.78273,1.78118,1.78226
1613080800,1.78226,1.78274,1.77982,1.78137
1613095200,1.78137,1.78262,1.78034,1.78084
1613109600,1.78084,1.7857,1.78062,1.78483
1613124000,1.78483,1.78704,1.7834,1.78688
1613138400,1.78688,1.78918,1.78392,1.78612
1613152800,1.78612,1.78671,1.7841,1.78446
1613340000,1.78446,1.7883,1.7832,1.78806
1613354400,1.78806,1.78887,1.78495,1.78524
1613368800,1.78524,1.78828,1.78459,1.78758
1613383200,1.78758,1.78939,1.78731,1.78866
1613397600,1.78866,1.78942,1.7862,1.78664
1613412000,1.78664,1.78871,1.78588,1.78688
1613426400,1.78688,1.78868,1.78626,1.78778
1613440800,1.78778,1.79086,1.78678,1.79018
1613455200,1.79018,1.7905,1.78727,1.78816
1613469600,1.78816,1.7906,1.78564,1.79046
1613484000,1.79046,1.79429,1.78824,1.79384
1613498400,1.79384,1.7939,1.79158,1.79288
1613512800,1.79288,1.79672,1.79084,1.7911
1613527200,1.7911,1.79234,1.79025,1.79187
1613541600,1.79187,1.79278,1.78754,1.79029
1613556000,1.79029,1.79394,1.78888,1.79158
1613570400,1.79158,1.79318,1.78686,1.78748
1613584800,1.78748,1.7892,1.78712,1.78886
1613599200,1.78886,1.78886,1.7856,1.78716
1613613600,1.78716,1.78774,1.78542,1.78638
1613628000,1.78638,1.79081,1.78514,1.78997
1613642400,1.78997,1.79741,1.78954,1.79716
1613656800,1.79716,1.80242,1.79711,1.80025
1613671200,1.80025,1.80104,1.79802,1.79866
1613685600,1.79866,1.79952,1.79718,1.79761
1613700000,1.79761,1.79856,1.79519,1.79534
1613714400,1.79534,1.79558,1.78531,1.78688
1613728800,1.78688,1.78744,1.7809,1.78368
1613743200,1.78368,1.78518,1.78003,1.7812
1613757600,1.7812,1.78306,1.77947,1.78036
1613944800,1.78036,1.78156,1.77678,1.77724
1613959200,1.77724,1.78061,1.77696,1.77881
1613973600,1.77881,1.78158,1.77626,1.77966
1613988000,1.77966,1.78114,1.77632,1.77826
1614002400,1.77826,1.77915,1.77604,1.77817
1614016800,1.77817,1.77832,1.77586,1.77654
1614031200,1.77654,1.7783,1.77473,1.77517
1614045600,1.77517,1.77875,1.77499,1.77818
1614060000,1.77818,1.78444,1.7763,1.78368
1614074400,1.78368,1.7849,1.78042,1.78171
1614088800,1.78171,1.78421,1.78112,1.78336
1614103200,1.78336,1.78457,1.7823,1.78414
1614117600,1.78414,1.7927,1.78271,1.78571
1614132000,1.78571,1.79056,1.78444,1.79042
1614146400,1.79042,1.79332,1.78806,1.78861
1614160800,1.78861,1.78894,1.78238,1.78364
1614175200,1.78364,1.78664,1.77552,1.77583
1614189600,1.77583,1.77828,1.77352,1.77468
1614204000,1.77468,1.7767,1.77326,1.77496
1614218400,1.77496,1.77784,1.77488,1.77651
1614232800,1.77651,1.77663,1.76897,1.77151
1614247200,1.77151,1.77362,1.76896,1.7736
1614261600,1.7736,1.77901,1.77284,1.77668
1614276000,1.77668,1.78232,1.77423,1.77948
1614290400,1.77948,1.78322,1.77776,1.78228
1614304800,1.78228,1.78524,1.77962,1.78102
1614319200,1.78102,1.78574,1.77656,1.7857
1614333600,1.7857,1.79761,1.78288,1.79274
1614348000,1.79274,1.80864,1.79171,1.80586
1614362400,1.80586,1.81123,1.80346,1.80787
1614549600,1.80787,1.80793,1.80094,1.80466
1614564000,1.80466,1.80498,1.80227,1.80325
1614578400,1.80325,1.80449,1.79944,1.80375
1614592800,1.80375,1.8083,1.79676,1.79902
1614607200,1.79902,1.79972,1.78989,1.79194
1614621600,1.79194,1.79266,1.78962,1.79162
1614636000,1.79162,1.79484,1.78953,1.79366
1614650400,1.79366,1.79468,1.78801,1.78936
1614664800,1.78936,1.7941,1.78744,1.78828
1614679200,1.78828,1.78861,1.78236,1.78522
1614693600,1.78522,1.78732,1.78284,1.78576
1614708000,1.78576,1.78624,1.78236,1.78477
1614722400,1.78477,1.78598,1.78094,1.78292
1614736800,1.78292,1.78546,1.7823,1.78478
1614751200,1.78478,1.78882,1.78376,1.78552
1614765600,1.78552,1.79371,1.78506,1.79316
1614780000,1.79316,1.79505,1.78882,1.79126
1614794400,1.79126,1.79435,1.78946,1.7939
1614808800,1.7939,1.79689,1.78976,1.78996
1614823200,1.78996,1.79245,1.78802,1.7895
1614837600,1.7895,1.79111,1.78627,1.79044
1614852000,1.79044,1.79366,1.78945,1.79178
1614866400,1.79178,1.80036,1.79149,1.79794
1614880800,1.79794,1.80182,1.79647,1.79917
1614895200,1.79917,1.80424,1.79781,1.80292
1614909600,1.80292,1.80346,1.79766,1.7979
1614924000,1.7979,1.8046,1.79746,1.80043
1614938400,1.80043,1.8085,1.79953,1.80309
1614952800,1.80309,1.80427,1.79678,1.80196
1614967200,1.80196,1.80328,1.79876,1.80028
1615154400,1.80028,1.80028,1.79463,1.79662
1615168800,1.79662,1.79745,1.79389,1.79478
1615183200,1.79478,1.80932,1.7939,1.80874
1615197600,1.80874,1.80972,1.80378,1.80574
1615212000,1.80574,1.80599,1.79936,1.80399
1615226400,1.80399,1.80836,1.80224,1.80722
1615240800,1.80722,1.81144,1.80436,1.81064
1615255200,1.81064,1.81071,1.80538,1.80604
1615269600,1.80604,1.80921,1.80272,1.80354
1615284000,1.80354,1.80426,1.7989,1.80374
1615298400,1.80374,1.80654,1.80186,1.80324
1615312800,1.80324,1.80334,1.79842,1.79942
1615327200,1.79942,1.80359,1.79905,1.80348
1615341600,1.80348,1.806,1.80328,1.80498
1615356000,1.80498,1.80752,1.80242,1.80394
1615370400,1.80394,1.80552,1.79884,1.79978
1615384800,1.79978,1.8029,1.7984,1.80102
1615399200,1.80102,1.80294,1.79938,1.80154
1615413600,1.80154,1.80252,1.799,1.80057
1615428000,1.80057,1.80067,1.79812,1.79886
1615442400,1.79886,1.79918,1.79231,1.79386
1615456800,1.79386,1.79766,1.79375,1.79713
1615471200,1.79713,1.80234,1.79646,1.79705
1615485600,1.79705,1.79735,1.79492,1.79642
1615500000,1.79642,1.79785,1.7943,1.79584
1615514400,1.79584,1.79824,1.79485,1.79708
1615528800,1.79708,1.8,1.79602,1.79603
1615543200,1.79603,1.79808,1.79168,1.79394
1615557600,1.79394,1.79542,1.79059,1.79384
1615572000,1.79384,1.79552,1.79271,1.79388
1615755600,1.79388,1.79678,1.79353,1.79474
1615770000,1.79474,1.79786,1.79386,1.7971
1615784400,1.7971,1.80039,1.79677,1.79813
1615798800,1.79813,1.8015,1.79677,1.80058
1615813200,1.80058,1.801,1.79153,1.79492
1615827600,1.79492,1.79492,1.79119,1.79294
1615842000,1.79294,1.79464,1.79105,1.79296
1615856400,1.79296,1.79326,1.78882,1.7893
1615870800,1.7893,1.79262,1.78734,1.78972
1615885200,1.78972,1.79232,1.78848,1.79204
1615899600,1.79204,1.79435,1.79021,1.79306
1615914000,1.79306,1.79472,1.79198,1.79342
1615928400,1.79342,1.79686,1.79325,1.79642
1615942800,1.79642,1.79682,1.79492,1.79598
1615957200,1.79598,1.80134,1.79568,1.79924
1615971600,1.79924,1.8023,1.79714,1.80097
1615986000,1.80097,1.80232,1.7974,1.80095
1616000400,1.80095,1.80139,1.78668,1.79086
1616014800,1.79086,1.79204,1.78366,1.78456
1616029200,1.78456,1.78468,1.78143,1.78252
1616043600,1.78252,1.7896,1.7824,1.7875
1616058000,1.7875,1.79162,1.7854,1.79102
1616072400,1.79102,1.79349,1.78748,1.78982
1616086800,1.78982,1.79592,1.78863,1.79485
1616101200,1.79485,1.7976,1.79211,1.79597
1616115600,1.79597,1.79945,1.7958,1.7959
1616130000,1.7959,1.79782,1.79428,1.79569
1616144400,1.79569,1.79775,1.79132,1.79226
1616158800,1.79226,1.79404,1.78654,1.78929
1616173200,1.78929,1.79319,1.78917,1.79164
1616360400,1.79164,1.79535,1.78988,1.79132
1616374800,1.79132,1.79353,1.79089,1.7924
1616389200,1.7924,1.79618,1.79214,1.79507
1616403600,1.79507,1.79566,1.789,1.78922
1616418000,1.78922,1.7896,1.78514,1.78842
1616432400,1.78842,1.7909,1.78765,1.78986
1616446800,1.78986,1.79206,1.78873,1.79196
1616461200,1.79196,1.79712,1.79095,1.79663
1616475600,1.79663,1.80174,1.79592,1.79618
1616490000,1.79618,1.7983,1.79464,1.79624
1616504400,1.79624,1.79778,1.79392,1.79714
1616518800,1.79714,1.80424,1.79674,1.8038
1616533200,1.8038,1.80612,1.80108,1.80542
1616547600,1.80542,1.80729,1.8036,1.80418
1616562000,1.80418,1.80738,1.79814,1.79868
1616576400,1.79868,1.80276,1.79779,1.80008
1616590800,1.80008,1.80248,1.79926,1.80183
1616605200,1.80183,1.80534,1.80039,1.80517
1616619600,1.80517,1.80578,1.80136,1.80148
1616634000,1.80148,1.80316,1.79926,1.803
1616648400,1.803,1.80431,1.8,1.80006
1616662800,1.80006,1.80668,1.79984,1.80588
1616677200,1.80588,1.81478,1.80516,1.81196
1616691600,1.81196,1.81362,1.81095,1.81189
1616706000,1.81189,1.81258,1.80966,1.81115
1616720400,1.81115,1.81174,1.80706,1.80732
1616734800,1.80732,1.80854,1.80398,1.80692
1616749200,1.80692,1.81054,1.80628,1.80754
1616763600,1.80754,1.81056,1.80688,1.80732
1616778000,1.80732,1.81,1.80359,1.80614
1616965200,1.80614,1.80753,1.80353,1.80692
1616979600,1.80692,1.80714,1.80341,1.80496
1616994000,1.80496,1.8121,1.80322,1.81022
1617008400,1.81022,1.81074,1.80737,1.80792
1617022800,1.80792,1.81014,1.80291,1.80302
1617037200,1.80302,1.80394,1.80203,1.80307
1617051600,1.80307,1.80439,1.80213,1.80332
1617066000,1.80332,1.80386,1.798,1.8011
1617080400,1.8011,1.80459,1.79882,1.80358
1617094800,1.80358,1.80749,1.80201,1.80574
1617109200,1.80574,1.80792,1.80061,1.80669
1617123600,1.80669,1.80912,1.80617,1.80867
1617138000,1.80867,1.81051,1.80394,1.80622
1617152400,1.80622,1.80637,1.80407,1.80593
1617166800,1.80593,1.80892,1.80532,1.80872
1617181200,1.80872,1.81058,1.80684,1.80958
1617195600,1.80958,1.8132,1.80661,1.8118
1617210000,1.8118,1.816,1.81148,1.81446
1617224400,1.81446,1.81814,1.813,1.81643
1617238800,1.81643,1.8257,1.8162,1.82498
1617253200,1.82498,1.82651,1.8205,1.82266
1617267600,1.82266,1.8234,1.81788,1.81822
1617282000,1.81822,1.82025,1.81644,1.81654
1617296400,1.81654,1.8169,1.81461,1.81594
1617310800,1.81594,1.81661,1.81294,1.81446
1617325200,1.81446,1.81478,1.81276,1.81454
1617339600,1.81454,1.81744,1.8143,1.8174
1617354000,1.8174,1.81872,1.81196,1.81696
1617368400,1.81696,1.81888,1.81617,1.8179
1617382800,1.8179,1.8207,1.81539,1.81731
1617570000,1.81731,1.81805,1.8143,1.8148
1617584400,1.8148,1.81637,1.81448,1.81632
1617598800,1.81632,1.81957,1.81582,1.81835
1617613200,1.81835,1.81894,1.81629,1.81727
1617627600,1.81727,1.81824,1.81464,1.8161
1617642000,1.8161,1.81788,1.816,1.81681
1617656400,1.81681,1.81833,1.81599,1.81636
1617670800,1.81636,1.82061,1.8156,1.8204
1617685200,1.8204,1.82084,1.81558,1.8164
1617699600,1.8164,1.81836,1.81213,1.81233
1617714000,1.81233,1.81346,1.8036,1.80401
1617728400,1.80401,1.80532,1.80226,1.80384
1617742800,1.80384,1.80532,1.80302,1.80352
1617757200,1.80352,1.80719,1.80268,1.80651
1617771600,1.80651,1.81188,1.80156,1.81112
1617786000,1.81112,1.8141,1.80568,1.80666
1617800400,1.80666,1.80722,1.80052,1.8039
1617814800,1.8039,1.80627,1.80318,1.80454
1617829200,1.80454,1.80581,1.80313,1.80497
1617843600,1.80497,1.80723,1.80348,1.80374
1617858000,1.80374,1.80417,1.7989,1.79922
1617872400,1.79922,1.80174,1.79866,1.80074
1617886800,1.80074,1.80118,1.7945,1.79566
1617901200,1.79566,1.79672,1.79366,1.79481
1617915600,1.79481,1.7957,1.79352,1.79498
1617930000,1.79498,1.79979,1.79496,1.79938
1617944400,1.79938,1.80278,1.79917,1.80004
1617958800,1.80004,1.80086,1.79608,1.80078
1617973200,1.80078,1.80295,1.799,1.80025
1617987600,1.80025,1.80063,1.79732,1.79913
1618174800,1.79913,1.80044,1.79651,1.79996
1618189200,1.79996,1.8018,1.79914,1.79936
1618203600,1.79936,1.80528,1.79841,1.80405
1618218000,1.80405,1.80508,1.7999,1.80402
1618232400,1.80402,1.80437,1.80196,1.80216
1618246800,1.80216,1.80506,1.80207,1.80272
1618261200,1.80272,1.80556,1.80183,1.80542
1618275600,1.80542,1.80723,1.80384,1.80647
1618290000,1.80647,1.80884,1.80462,1.80584
1618304400,1.80584,1.80834,1.80266,1.8036
1618318800,1.8036,1.8036,1.79916,1.80002
1618333200,1.80002,1.80005,1.79828,1.79895
1618347600,1.79895,1.80052,1.79826,1.80006
1618362000,1.80006,1.801,1.79634,1.7968
1618376400,1.7968,1.79748,1.79376,1.79402
1618390800,1.79402,1.7942,1.789,1.78974
1618405200,1.78974,1.7921,1.78285,1.7837
1618419600,1.7837,1.78514,1.78307,1.78388
1618434000,1.78388,1.78501,1.78138,1.78188
1618448400,1.78188,1.78668,1.78008,1.78598
1618462800,1.78598,1.78599,1.77672,1.77678
1618477200,1.77678,1.78122,1.77656,1.78004
1618491600,1.78004,1.78098,1.7764,1.77892
1618506000,1.77892,1.78008,1.7771,1.77832
1618520400,1.77832,1.77954,1.77724,1.77913
1618534800,1.77913,1.78049,1.77832,1.7789
1618549200,1.7789,1.77914,1.77407,1.77691
1618563600,1.77691,1.78279,1.77682,1.78206
1618578000,1.78206,1.7881,1.78125,1.78725
1618592400,1.78725,1.7903,1.78671,1.78931
1618779600,1.78931,1.79186,1.78908,1.79096
1618794000,1.79096,1.79216,1.78845,1.79059
1618808400,1.79059,1.79215,1.78299,1.78394
1618822800,1.78394,1.7967,1.78349,1.79586
