time,open,high,low,close
2020-09-02T09:00:00Z,1.97402,1.9779,1.9727,1.97448
2020-09-02T13:00:00Z,1.97448,1.97496,1.96715,1.96876
2020-09-02T17:00:00Z,1.96876,1.97432,1.9684,1.97198
2020-09-02T21:00:00Z,1.97198,1.97439,1.97079,1.9726
2020-09-03T01:00:00Z,1.9726,1.97295,1.9692,1.97158
2020-09-03T05:00:00Z,1.97158,1.9721,1.96842,1.97173
2020-09-03T09:00:00Z,1.97173,1.97512,1.96852,1.97128
2020-09-03T13:00:00Z,1.97128,1.9803,1.97086,1.98022
2020-09-03T17:00:00Z,1.98022,1.98314,1.97784,1.9788
2020-09-03T21:00:00Z,1.9788,1.98318,1.97829,1.9809
2020-09-04T01:00:00Z,1.9809,1.98266,1.97844,1.9804
2020-09-04T05:00:00Z,1.9804,1.98266,1.97834,1.97998
2020-09-04T09:00:00Z,1.97998,1.98062,1.97042,1.9718
2020-09-04T13:00:00Z,1.9718,1.97884,1.97128,1.97196
2020-09-04T17:00:00Z,1.97196,1.97642,1.97192,1.97584
2020-09-06T21:00:00Z,1.97584,1.97584,1.97232,1.97502
2020-09-07T01:00:00Z,1.97502,1.9757,1.97272,1.973
2020-09-07T05:00:00Z,1.973,1.97596,1.96729,1.96778
2020-09-07T09:00:00Z,1.96778,1.9698,1.96242,1.96416
2020-09-07T13:00:00Z,1.96416,1.9681,1.96256,1.96738
2020-09-07T17:00:00Z,1.96738,1.96832,1.96639,1.96762
2020-09-07T21:00:00Z,1.96762,1.9692,1.96537,1.96626
2020-09-08T01:00:00Z,1.96626,1.96712,1.9641,1.96588
2020-09-08T05:00:00Z,1.96588,1.96616,1.96121,1.96298
2020-09-08T09:00:00Z,1.96298,1.96561,1.95516,1.96062
2020-09-08T13:00:00Z,1.96062,1.9664,1.95956,1.96521
2020-09-08T17:00:00Z,1.96521,1.96548,1.96085,1.96144
2020-09-08T21:00:00Z,1.96144,1.96295,1.95753,1.95818
2020-09-09T01:00:00Z,1.95818,1.95899,1.95636,1.95756
2020-09-09T05:00:00Z,1.95756,1.95771,1.95032,1.95238
2020-09-09T09:00:00Z,1.95238,1.95322,1.94126,1.94279
2020-09-09T13:00:00Z,1.94279,1.94946,1.94104,1.9481
2020-09-09T17:00:00Z,1.9481,1.9492,1.94434,1.9451
2020-09-09T21:00:00Z,1.9451,1.94765,1.94482,1.94622
2020-09-10T01:00:00Z,1.94622,1.94684,1.94408,1.94456
2020-09-10T05:00:00Z,1.94456,1.95112,1.94378,1.9495
2020-09-10T09:00:00Z,1.9495,1.95254,1.93389,1.938
2020-09-10T13:00:00Z,1.938,1.93838,1.92124,1.92568
2020-09-10T17:00:00Z,1.92568,1.92758,1.92207,1.92563
2020-09-10T21:00:00Z,1.92563,1.92809,1.92265,1.92345
2020-09-11T01:00:00Z,1.92345,1.92586,1.92245,1.92374
2020-09-11T05:00:00Z,1.92374,1.9258,1.91332,1.91399
2020-09-11T09:00:00Z,1.91399,1.92272,1.91014,1.92094
2020-09-11T13:00:00Z,1.92094,1.92223,1.91456,1.91951
2020-09-11T17:00:00Z,1.91951,1.92462,1.91898,1.91899
2020-09-13T21:00:00Z,1.91899,1.92181,1.913,1.9163
2020-09-14T01:00:00Z,1.9163,1.91714,1.9137,1.91428
2020-09-14T05:00:00Z,1.91428,1.92068,1.9133,1.91936
2020-09-14T09:00:00Z,1.91936,1.92502,1.91906,1.92236
2020-09-14T13:00:00Z,1.92236,1.9255,1.91686,1.91715
2020-09-14T17:00:00Z,1.91715,1.91895,1.91549,1.91726
2020-09-14T21:00:00Z,1.91726,1.9189,1.91643,1.91726
2020-09-15T01:00:00Z,1.91726,1.91826,1.91302,1.91314
2020-09-15T05:00:00Z,1.91314,1.91924,1.91139,1.91494
2020-09-15T09:00:00Z,1.91494,1.9208,1.91439,1.91594
2020-09-15T13:00:00Z,1.91594,1.9198,1.91244,1.91943
2020-09-15T17:00:00Z,1.91943,1.92077,1.91804,1.92007
2020-09-15T21:00:00Z,1.92007,1.92081,1.91829,1.91962
2020-09-16T01:00:00Z,1.91962,1.92208,1.91659,1.91716
2020-09-16T05:00:00Z,1.91716,1.9178,1.91311,1.91522
2020-09-16T09:00:00Z,1.91522,1.9262,1.91446,1.92546
2020-09-16T13:00:00Z,1.92546,1.92806,1.92147,1.92358
2020-09-16T17:00:00Z,1.92358,1.93017,1.92082,1.92612
2020-09-16T21:00:00Z,1.92612,1.92845,1.92507,1.92654
2020-09-17T01:00:00Z,1.92654,1.93271,1.92481,1.93267
2020-09-17T05:00:00Z,1.93267,1.93848,1.92411,1.92766
2020-09-17T09:00:00Z,1.92766,1.93224,1.91282,1.91524
2020-09-17T13:00:00Z,1.91524,1.93149,1.91487,1.92074
2020-09-17T17:00:00Z,1.92074,1.92274,1.91906,1.9203
2020-09-17T21:00:00Z,1.9203,1.923,1.91625,1.91754
2020-09-18T01:00:00Z,1.91754,1.9176,1.9085,1.90915
2020-09-18T05:00:00Z,1.90915,1.91525,1.90748,1.91471
2020-09-18T09:00:00Z,1.91471,1.91916,1.91179,1.918
2020-09-18T13:00:00Z,1.918,1.91825,1.9091,1.90942
2020-09-18T17:00:00Z,1.90942,1.91318,1.90637,1.91095
2020-09-20T21:00:00Z,1.91095,1.91446,1.90925,1.91348
2020-09-21T01:00:00Z,1.91348,1.91418,1.91165,1.91314
2020-09-21T05:00:00Z,1.91314,1.91588,1.90602,1.90815
2020-09-21T09:00:00Z,1.90815,1.92209,1.9081,1.91905
2020-09-21T13:00:00Z,1.91905,1.92326,1.91754,1.91986
2020-09-21T17:00:00Z,1.91986,1.92303,1.91779,1.92216
2020-09-21T21:00:00Z,1.92216,1.92446,1.9157,1.92327
2020-09-22T01:00:00Z,1.92327,1.92382,1.91928,1.92158
2020-09-22T05:00:00Z,1.92158,1.92516,1.91338,1.92284
2020-09-22T09:00:00Z,1.92284,1.92767,1.91742,1.92037
2020-09-22T13:00:00Z,1.92037,1.92098,1.91568,1.92064
2020-09-22T17:00:00Z,1.92064,1.92118,1.91814,1.91924
2020-09-22T21:00:00Z,1.91924,1.92532,1.91847,1.92398
2020-09-23T01:00:00Z,1.92398,1.92857,1.91573,1.92378
2020-09-23T05:00:00Z,1.92378,1.92618,1.91997,1.92528
2020-09-23T09:00:00Z,1.92528,1.93657,1.92468,1.93596
2020-09-23T13:00:00Z,1.93596,1.94432,1.9333,1.94298
2020-09-23T17:00:00Z,1.94298,1.94506,1.94118,1.94325
2020-09-23T21:00:00Z,1.94325,1.9444,1.93991,1.94426
2020-09-24T01:00:00Z,1.94426,1.94652,1.94271,1.94508
2020-09-24T05:00:00Z,1.94508,1.95296,1.9449,1.95074
2020-09-24T09:00:00Z,1.95074,1.95848,1.95066,1.95773
2020-09-24T13:00:00Z,1.95773,1.95789,1.94614,1.94779
2020-09-24T17:00:00Z,1.94779,1.94948,1.94414,1.94687
2020-09-24T21:00:00Z,1.94687,1.94887,1.94449,1.94847
2020-09-25T01:00:00Z,1.94847,1.94874,1.94278,1.94367
2020-09-25T05:00:00Z,1.94367,1.9466,1.93954,1.94172
2020-09-25T09:00:00Z,1.94172,1.94607,1.93722,1.94195
2020-09-25T13:00:00Z,1.94195,1.94526,1.93912,1.94452
2020-09-25T17:00:00Z,1.94452,1.94716,1.94326,1.94702
2020-09-27T21:00:00Z,1.94702,1.95062,1.94636,1.94882
