time,open,high,low,close
2021-03-12T15:00:00Z,1.389,1.38988,1.38654,1.38952
2021-03-12T16:00:00Z,1.38952,1.39263,1.38855,1.39263
2021-03-12T17:00:00Z,1.39263,1.39354,1.39221,1.39221
2021-03-12T18:00:00Z,1.39221,1.39252,1.3915,1.39192
2021-03-12T19:00:00Z,1.39192,1.39273,1.39144,1.39229
2021-03-12T20:00:00Z,1.39229,1.39328,1.39192,1.39296
2021-03-12T21:00:00Z,1.39296,1.39298,1.39173,1.39206
2021-03-14T21:00:00Z,1.39206,1.39245,1.39166,1.39215
2021-03-14T22:00:00Z,1.39215,1.39264,1.39203,1.39238
2021-03-14T23:00:00Z,1.39238,1.39319,1.39216,1.393
2021-03-15T00:00:00Z,1.393,1.39416,1.39298,1.3932
2021-03-15T01:00:00Z,1.3932,1.39498,1.39298,1.39364
2021-03-15T02:00:00Z,1.39364,1.39412,1.39212,1.39244
2021-03-15T03:00:00Z,1.39244,1.39282,1.39214,1.39268
2021-03-15T04:00:00Z,1.39268,1.39297,1.39234,1.39252
2021-03-15T05:00:00Z,1.39252,1.39262,1.39039,1.39078
2021-03-15T06:00:00Z,1.39078,1.39195,1.38961,1.3917
2021-03-15T07:00:00Z,1.3917,1.3932,1.39118,1.39198
2021-03-15T08:00:00Z,1.39198,1.39474,1.39139,1.3943
2021-03-15T09:00:00Z,1.3943,1.3947,1.39296,1.3934
2021-03-15T10:00:00Z,1.3934,1.3936,1.39216,1.39315
2021-03-15T11:00:00Z,1.39315,1.39315,1.39069,1.39088
2021-03-15T12:00:00Z,1.39088,1.393,1.39074,1.39229
2021-03-15T13:00:00Z,1.39229,1.39252,1.39046,1.39077
2021-03-15T14:00:00Z,1.39077,1.39126,1.38795,1.38902
2021-03-15T15:00:00Z,1.38902,1.39005,1.38531,1.38627
2021-03-15T16:00:00Z,1.38627,1.38928,1.38616,1.38863
2021-03-15T17:00:00Z,1.38863,1.38954,1.38815,1.38932
2021-03-15T18:00:00Z,1.38932,1.38987,1.38874,1.38892
2021-03-15T19:00:00Z,1.38892,1.39002,1.38848,1.39001
2021-03-15T20:00:00Z,1.39001,1.39083,1.38927,1.38927
2021-03-15T21:00:00Z,1.38927,1.39059,1.38896,1.3902
2021-03-15T22:00:00Z,1.3902,1.39035,1.38957,1.38964
2021-03-15T23:00:00Z,1.38964,1.39004,1.38952,1.38987
2021-03-16T00:00:00Z,1.38987,1.39005,1.38836,1.38846
2021-03-16T01:00:00Z,1.38846,1.38943,1.38827,1.38844
2021-03-16T02:00:00Z,1.38844,1.38857,1.3866,1.38687
2021-03-16T03:00:00Z,1.38687,1.38803,1.38657,1.38714
2021-03-16T04:00:00Z,1.38714,1.38765,1.38682,1.38712
2021-03-16T05:00:00Z,1.38712,1.38756,1.38628,1.38724
2021-03-16T06:00:00Z,1.38724,1.38732,1.38565,1.38602
2021-03-16T07:00:00Z,1.38602,1.38602,1.38212,1.3827
2021-03-16T08:00:00Z,1.3827,1.38414,1.3816,1.3819
2021-03-16T09:00:00Z,1.3819,1.38288,1.3809,1.38281
2021-03-16T10:00:00Z,1.38281,1.38476,1.38248,1.38472
2021-03-16T11:00:00Z,1.38472,1.38722,1.38442,1.38626
2021-03-16T12:00:00Z,1.38626,1.38828,1.38613,1.38758
2021-03-16T13:00:00Z,1.38758,1.38946,1.38722,1.38789
2021-03-16T14:00:00Z,1.38789,1.3896,1.3878,1.389
2021-03-16T15:00:00Z,1.389,1.38946,1.38694,1.38902
2021-03-16T16:00:00Z,1.38902,1.39011,1.38839,1.38906
2021-03-16T17:00:00Z,1.38906,1.3906,1.38886,1.38924
2021-03-16T18:00:00Z,1.38924,1.39006,1.38882,1.38952
2021-03-16T19:00:00Z,1.38952,1.3904,1.38934,1.38983
2021-03-16T20:00:00Z,1.38983,1.38992,1.38902,1.38909
2021-03-16T21:00:00Z,1.38909,1.38978,1.38887,1.38946
2021-03-16T22:00:00Z,1.38946,1.39,1.38927,1.3899
2021-03-16T23:00:00Z,1.3899,1.39044,1.38979,1.39026
2021-03-17T00:00:00Z,1.39026,1.39056,1.38932,1.38938
2021-03-17T01:00:00Z,1.38938,1.3895,1.38786,1.38862
2021-03-17T02:00:00Z,1.38862,1.3888,1.3882,1.3888
2021-03-17T03:00:00Z,1.3888,1.38914,1.38854,1.38903
2021-03-17T04:00:00Z,1.38903,1.38984,1.38879,1.38934
2021-03-17T05:00:00Z,1.38934,1.38948,1.38803,1.38816
2021-03-17T06:00:00Z,1.38816,1.39136,1.38782,1.39126
2021-03-17T07:00:00Z,1.39126,1.39296,1.39024,1.39167
2021-03-17T08:00:00Z,1.39167,1.39205,1.38976,1.3898
2021-03-17T09:00:00Z,1.3898,1.39063,1.38925,1.39004
2021-03-17T10:00:00Z,1.39004,1.3924,1.38942,1.39132
2021-03-17T11:00:00Z,1.39132,1.39148,1.38924,1.38972
2021-03-17T12:00:00Z,1.38972,1.39082,1.38868,1.39078
2021-03-17T13:00:00Z,1.39078,1.3912,1.38952,1.38994
2021-03-17T14:00:00Z,1.38994,1.39104,1.38717,1.38816
2021-03-17T15:00:00Z,1.38816,1.38914,1.38672,1.38871
2021-03-17T16:00:00Z,1.38871,1.38874,1.38704,1.3875
2021-03-17T17:00:00Z,1.3875,1.38764,1.3851,1.38587
2021-03-17T18:00:00Z,1.38587,1.39484,1.38587,1.39454
2021-03-17T19:00:00Z,1.39454,1.39666,1.39354,1.39636
2021-03-17T20:00:00Z,1.39636,1.39712,1.39593,1.3964
2021-03-17T21:00:00Z,1.3964,1.39703,1.39507,1.3962
2021-03-17T22:00:00Z,1.3962,1.39757,1.396,1.3963
2021-03-17T23:00:00Z,1.3963,1.39762,1.39628,1.39756
2021-03-18T00:00:00Z,1.39756,1.39776,1.39632,1.39693
2021-03-18T01:00:00Z,1.39693,1.39722,1.39472,1.39526
2021-03-18T02:00:00Z,1.39526,1.39538,1.39454,1.39527
2021-03-18T03:00:00Z,1.39527,1.39602,1.39414,1.39431
2021-03-18T04:00:00Z,1.39431,1.39528,1.39356,1.39522
2021-03-18T05:00:00Z,1.39522,1.3959,1.39482,1.39575
2021-03-18T06:00:00Z,1.39575,1.39911,1.39534,1.39848
2021-03-18T07:00:00Z,1.39848,1.40014,1.39455,1.39578
2021-03-18T08:00:00Z,1.39578,1.39753,1.3947,1.39564
2021-03-18T09:00:00Z,1.39564,1.39742,1.3955,1.3961
2021-03-18T10:00:00Z,1.3961,1.3987,1.39534,1.39848
2021-03-18T11:00:00Z,1.39848,1.3994,1.39554,1.39622
2021-03-18T12:00:00Z,1.39622,1.39681,1.39216,1.39445
2021-03-18T13:00:00Z,1.39445,1.39463,1.38994,1.39022
2021-03-18T14:00:00Z,1.39022,1.39387,1.38976,1.39268
2021-03-18T15:00:00Z,1.39268,1.39516,1.39218,1.39376
2021-03-18T16:00:00Z,1.39376,1.39526,1.39264,1.39324
2021-03-18T17:00:00Z,1.39324,1.39514,1.3923,1.39502
2021-03-18T18:00:00Z,1.39502,1.39504,1.39184,1.39298
2021-03-18T19:00:00Z,1.39298,1.39312,1.39149,1.39233
2021-03-18T20:00:00Z,1.39233,1.39386,1.39215,1.39237
2021-03-18T21:00:00Z,1.39237,1.39334,1.39209,1.39301
2021-03-18T22:00:00Z,1.39301,1.39338,1.39235,1.3924
2021-03-18T23:00:00Z,1.3924,1.3931,1.39223,1.39234
2021-03-19T00:00:00Z,1.39234,1.39241,1.39012,1.39074
2021-03-19T01:00:00Z,1.39074,1.39146,1.38924,1.39146
2021-03-19T02:00:00Z,1.39146,1.39171,1.3906,1.39094
2021-03-19T03:00:00Z,1.39094,1.39177,1.39008,1.39158
2021-03-19T04:00:00Z,1.39158,1.39258,1.39138,1.39223
2021-03-19T05:00:00Z,1.39223,1.39223,1.39064,1.39164
2021-03-19T06:00:00Z,1.39164,1.39292,1.3907,1.39239
2021-03-19T07:00:00Z,1.39239,1.39568,1.39176,1.39496
2021-03-19T08:00:00Z,1.39496,1.39558,1.39378,1.39514
2021-03-19T09:00:00Z,1.39514,1.39592,1.39202,1.39234
2021-03-19T10:00:00Z,1.39234,1.39372,1.39182,1.3929
2021-03-19T11:00:00Z,1.3929,1.39348,1.39084,1.39088
2021-03-19T12:00:00Z,1.39088,1.39174,1.38786,1.389
2021-03-19T13:00:00Z,1.389,1.389,1.38336,1.38408
2021-03-19T14:00:00Z,1.38408,1.38534,1.38304,1.38534
2021-03-19T15:00:00Z,1.38534,1.38738,1.3841,1.3871
2021-03-19T16:00:00Z,1.3871,1.38797,1.38645,1.38734
2021-03-19T17:00:00Z,1.38734,1.38818,1.38676,1.38815
2021-03-19T18:00:00Z,1.38815,1.38863,1.38668,1.38708
2021-03-19T19:00:00Z,1.38708,1.38736,1.38614,1.38642
2021-03-19T20:00:00Z,1.38642,1.38718,1.38589,1.38692
2021-03-21T21:00:00Z,1.38692,1.38692,1.38342,1.38382
2021-03-21T22:00:00Z,1.38382,1.38474,1.38365,1.38392
2021-03-21T23:00:00Z,1.38392,1.38452,1.38296,1.38336
2021-03-22T00:00:00Z,1.38336,1.38451,1.38275,1.38295
2021-03-22T01:00:00Z,1.38295,1.38315,1.38179,1.38266
2021-03-22T02:00:00Z,1.38266,1.38367,1.38259,1.38367
2021-03-22T03:00:00Z,1.38367,1.38476,1.38348,1.38404
2021-03-22T04:00:00Z,1.38404,1.3854,1.38386,1.38486
2021-03-22T05:00:00Z,1.38486,1.38622,1.38468,1.38552
2021-03-22T06:00:00Z,1.38552,1.386,1.38448,1.38512
2021-03-22T07:00:00Z,1.38512,1.38581,1.38364,1.38488
2021-03-22T08:00:00Z,1.38488,1.3872,1.38388,1.38653
2021-03-22T09:00:00Z,1.38653,1.38744,1.38484,1.38542
2021-03-22T10:00:00Z,1.38542,1.38659,1.38404,1.3854
2021-03-22T11:00:00Z,1.3854,1.38769,1.38494,1.38706
2021-03-22T12:00:00Z,1.38706,1.38732,1.38406,1.38457
2021-03-22T13:00:00Z,1.38457,1.38472,1.38211,1.38282
2021-03-22T14:00:00Z,1.38282,1.38447,1.3823,1.38376
2021-03-22T15:00:00Z,1.38376,1.3858,1.38336,1.38541
2021-03-22T16:00:00Z,1.38541,1.38656,1.38503,1.3859
2021-03-22T17:00:00Z,1.3859,1.38715,1.38544,1.38652
2021-03-22T18:00:00Z,1.38652,1.38692,1.38632,1.38643
2021-03-22T19:00:00Z,1.38643,1.3867,1.38584,1.3859
2021-03-22T20:00:00Z,1.3859,1.38677,1.38568,1.38636
2021-03-22T21:00:00Z,1.38636,1.38665,1.38592,1.38605
2021-03-22T22:00:00Z,1.38605,1.38638,1.3859,1.38626
2021-03-22T23:00:00Z,1.38626,1.38647,1.38575,1.38593
2021-03-23T00:00:00Z,1.38593,1.38621,1.38446,1.38502
2021-03-23T01:00:00Z,1.38502,1.3854,1.38396,1.38451
2021-03-23T02:00:00Z,1.38451,1.38477,1.38346,1.38396
2021-03-23T03:00:00Z,1.38396,1.38486,1.38388,1.38476
2021-03-23T04:00:00Z,1.38476,1.38514,1.38336,1.38341
2021-03-23T05:00:00Z,1.38341,1.38356,1.38251,1.38308
2021-03-23T06:00:00Z,1.38308,1.38445,1.38218,1.38381
2021-03-23T07:00:00Z,1.38381,1.3853,1.38362,1.38438
2021-03-23T08:00:00Z,1.38438,1.38438,1.3802,1.3811
2021-03-23T09:00:00Z,1.3811,1.38139,1.37678,1.37764
2021-03-23T10:00:00Z,1.37764,1.37867,1.37517,1.3768
2021-03-23T11:00:00Z,1.3768,1.37936,1.37638,1.37748
2021-03-23T12:00:00Z,1.37748,1.38021,1.37724,1.3793
2021-03-23T13:00:00Z,1.3793,1.37963,1.37746,1.37766
2021-03-23T14:00:00Z,1.37766,1.37986,1.3769,1.37958
2021-03-23T15:00:00Z,1.37958,1.38006,1.37806,1.37936
2021-03-23T16:00:00Z,1.37936,1.3794,1.37718,1.37736
2021-03-23T17:00:00Z,1.37736,1.37805,1.37564,1.37596
2021-03-23T18:00:00Z,1.37596,1.37672,1.37576,1.37586
2021-03-23T19:00:00Z,1.37586,1.37632,1.37488,1.37492
2021-03-23T20:00:00Z,1.37492,1.37551,1.37407,1.37521
2021-03-23T21:00:00Z,1.37521,1.37593,1.37475,1.37508
2021-03-23T22:00:00Z,1.37508,1.37576,1.37471,1.37474
2021-03-23T23:00:00Z,1.37474,1.37482,1.3724,1.37314
2021-03-24T00:00:00Z,1.37314,1.37428,1.37283,1.37343
2021-03-24T01:00:00Z,1.37343,1.37396,1.37288,1.3734
2021-03-24T02:00:00Z,1.3734,1.37358,1.3724,1.3727
2021-03-24T03:00:00Z,1.3727,1.37334,1.37246,1.37268
2021-03-24T04:00:00Z,1.37268,1.37297,1.37042,1.37126
2021-03-24T05:00:00Z,1.37126,1.37138,1.37016,1.37085
2021-03-24T06:00:00Z,1.37085,1.37225,1.37036,1.37186
2021-03-24T07:00:00Z,1.37186,1.37199,1.36741,1.36879
2021-03-24T08:00:00Z,1.36879,1.37062,1.3679,1.3694
2021-03-24T09:00:00Z,1.3694,1.37317,1.36908,1.37304
2021-03-24T10:00:00Z,1.37304,1.37332,1.3698,1.37053
2021-03-24T11:00:00Z,1.37053,1.37186,1.37024,1.37114
2021-03-24T12:00:00Z,1.37114,1.37257,1.3708,1.37174
2021-03-24T13:00:00Z,1.37174,1.37194,1.3699,1.3709
2021-03-24T14:00:00Z,1.3709,1.37234,1.36962,1.37202
2021-03-24T15:00:00Z,1.37202,1.37262,1.37114,1.37224
2021-03-24T16:00:00Z,1.37224,1.37334,1.3717,1.3719
2021-03-24T17:00:00Z,1.3719,1.37214,1.37058,1.37124
