time,open,high,low,close
2021-03-12T15:00:00Z,78.184,78.21,78.036,78.166
2021-03-12T16:00:00Z,78.166,78.29,78.138,78.246
2021-03-12T17:00:00Z,78.246,78.314,78.223,78.284
2021-03-12T18:00:00Z,78.284,78.337,78.266,78.301
2021-03-12T19:00:00Z,78.301,78.318,78.228,78.246
2021-03-12T20:00:00Z,78.246,78.274,78.194,78.258
2021-03-12T21:00:00Z,78.258,78.35,78.22,78.235
2021-03-14T21:00:00Z,78.235,78.296,78.192,78.287
2021-03-14T22:00:00Z,78.287,78.342,78.226,78.294
2021-03-14T23:00:00Z,78.294,78.429,78.272,78.42
2021-03-15T00:00:00Z,78.42,78.49,78.4,78.48
2021-03-15T01:00:00Z,78.48,78.628,78.468,78.599
2021-03-15T02:00:00Z,78.599,78.668,78.556,78.569
2021-03-15T03:00:00Z,78.569,78.594,78.518,78.564
2021-03-15T04:00:00Z,78.564,78.62,78.553,78.618
2021-03-15T05:00:00Z,78.618,78.627,78.507,78.546
2021-03-15T06:00:00Z,78.546,78.672,78.515,78.623
2021-03-15T07:00:00Z,78.623,78.642,78.458,78.493
2021-03-15T08:00:00Z,78.493,78.602,78.483,78.593
2021-03-15T09:00:00Z,78.593,78.644,78.529,78.54
2021-03-15T10:00:00Z,78.54,78.556,78.46,78.479
2021-03-15T11:00:00Z,78.479,78.486,78.416,78.435
2021-03-15T12:00:00Z,78.435,78.512,78.425,78.486
2021-03-15T13:00:00Z,78.486,78.554,78.45,78.502
2021-03-15T14:00:00Z,78.502,78.52,78.397,78.467
2021-03-15T15:00:00Z,78.467,78.484,78.242,78.362
2021-03-15T16:00:00Z,78.362,78.51,78.344,78.442
2021-03-15T17:00:00Z,78.442,78.57,78.432,78.559
2021-03-15T18:00:00Z,78.559,78.589,78.521,78.546
2021-03-15T19:00:00Z,78.546,78.587,78.501,78.55
2021-03-15T20:00:00Z,78.55,78.608,78.548,78.59
2021-03-15T21:00:00Z,78.59,78.629,78.469,78.585
2021-03-15T22:00:00Z,78.585,78.637,78.556,78.591
2021-03-15T23:00:00Z,78.591,78.634,78.582,78.594
2021-03-16T00:00:00Z,78.594,78.652,78.58,78.628
2021-03-16T01:00:00Z,78.628,78.676,78.607,78.608
2021-03-16T02:00:00Z,78.608,78.65,78.554,78.62
2021-03-16T03:00:00Z,78.62,78.634,78.557,78.562
2021-03-16T04:00:00Z,78.562,78.598,78.522,78.592
2021-03-16T05:00:00Z,78.592,78.647,78.556,78.62
2021-03-16T06:00:00Z,78.62,78.624,78.523,78.536
2021-03-16T07:00:00Z,78.536,78.546,78.432,78.466
2021-03-16T08:00:00Z,78.466,78.49,78.402,78.43
2021-03-16T09:00:00Z,78.43,78.432,78.26,78.328
2021-03-16T10:00:00Z,78.328,78.456,78.327,78.454
2021-03-16T11:00:00Z,78.454,78.474,78.413,78.435
2021-03-16T12:00:00Z,78.435,78.506,78.392,78.424
2021-03-16T13:00:00Z,78.424,78.426,78.2,78.224
2021-03-16T14:00:00Z,78.224,78.378,78.224,78.364
2021-03-16T15:00:00Z,78.364,78.414,78.301,78.382
2021-03-16T16:00:00Z,78.382,78.426,78.336,78.384
2021-03-16T17:00:00Z,78.384,78.448,78.378,78.398
2021-03-16T18:00:00Z,78.398,78.426,78.346,78.396
2021-03-16T19:00:00Z,78.396,78.41,78.342,78.386
2021-03-16T20:00:00Z,78.386,78.412,78.364,78.38
2021-03-16T21:00:00Z,78.38,78.393,78.284,78.374
2021-03-16T22:00:00Z,78.374,78.422,78.358,78.399
2021-03-16T23:00:00Z,78.399,78.449,78.382,78.426
2021-03-17T00:00:00Z,78.426,78.457,78.393,78.412
2021-03-17T01:00:00Z,78.412,78.437,78.33,78.408
2021-03-17T02:00:00Z,78.408,78.426,78.357,78.392
2021-03-17T03:00:00Z,78.392,78.412,78.366,78.382
2021-03-17T04:00:00Z,78.382,78.386,78.349,78.383
2021-03-17T05:00:00Z,78.383,78.394,78.316,78.324
2021-03-17T06:00:00Z,78.324,78.399,78.322,78.399
2021-03-17T07:00:00Z,78.399,78.424,78.339,78.38
2021-03-17T08:00:00Z,78.38,78.42,78.329,78.332
2021-03-17T09:00:00Z,78.332,78.356,78.297,78.35
2021-03-17T10:00:00Z,78.35,78.388,78.31,78.371
2021-03-17T11:00:00Z,78.371,78.38,78.242,78.242
2021-03-17T12:00:00Z,78.242,78.29,78.187,78.265
2021-03-17T13:00:00Z,78.265,78.288,78.196,78.249
2021-03-17T14:00:00Z,78.249,78.344,78.218,78.238
2021-03-17T15:00:00Z,78.238,78.255,78.178,78.208
2021-03-17T16:00:00Z,78.208,78.228,78.161,78.198
2021-03-17T17:00:00Z,78.198,78.272,78.186,78.189
2021-03-17T18:00:00Z,78.189,78.83,78.146,78.802
2021-03-17T19:00:00Z,78.802,79.048,78.702,78.814
2021-03-17T20:00:00Z,78.814,78.907,78.786,78.792
2021-03-17T21:00:00Z,78.792,78.882,78.674,78.713
2021-03-17T22:00:00Z,78.713,78.866,78.702,78.817
2021-03-17T23:00:00Z,78.817,78.981,78.813,78.976
2021-03-18T00:00:00Z,78.976,79.07,78.898,78.988
2021-03-18T01:00:00Z,78.988,79.082,78.982,79.001
2021-03-18T02:00:00Z,79.001,79.064,78.976,79.048
2021-03-18T03:00:00Z,79.048,79.052,78.758,78.84
2021-03-18T04:00:00Z,78.84,78.947,78.834,78.923
2021-03-18T05:00:00Z,78.923,78.94,78.85,78.862
2021-03-18T06:00:00Z,78.862,79.074,78.858,79.068
2021-03-18T07:00:00Z,79.068,79.143,78.901,78.964
2021-03-18T08:00:00Z,78.964,79.068,78.871,78.904
2021-03-18T09:00:00Z,78.904,78.935,78.776,78.816
2021-03-18T10:00:00Z,78.816,78.87,78.742,78.836
2021-03-18T11:00:00Z,78.836,78.858,78.724,78.792
2021-03-18T12:00:00Z,78.792,78.83,78.576,78.685
2021-03-18T13:00:00Z,78.685,78.703,78.408,78.415
2021-03-18T14:00:00Z,78.415,78.432,78.297,78.362
2021-03-18T15:00:00Z,78.362,78.471,78.344,78.38
2021-03-18T16:00:00Z,78.38,78.469,78.303,78.33
2021-03-18T17:00:00Z,78.33,78.398,78.258,78.382
2021-03-18T18:00:00Z,78.382,78.382,78.084,78.108
2021-03-18T19:00:00Z,78.108,78.156,77.926,77.97
2021-03-18T20:00:00Z,77.97,78.093,77.97,78.032
2021-03-18T21:00:00Z,78.032,78.252,78.021,78.06
2021-03-18T22:00:00Z,78.06,78.152,78.058,78.112
2021-03-18T23:00:00Z,78.112,78.125,78.06,78.069
2021-03-19T00:00:00Z,78.069,78.125,78.032,78.074
2021-03-19T01:00:00Z,78.074,78.15,78.008,78.131
2021-03-19T02:00:00Z,78.131,78.134,77.992,78.032
2021-03-19T03:00:00Z,78.032,78.19,77.998,78.013
2021-03-19T04:00:00Z,78.013,78.143,78,78.1
2021-03-19T05:00:00Z,78.1,78.108,78.03,78.096
2021-03-19T06:00:00Z,78.096,78.098,77.98,78.076
2021-03-19T07:00:00Z,78.076,78.164,78.012,78.096
2021-03-19T08:00:00Z,78.096,78.127,77.993,78.045
2021-03-19T09:00:00Z,78.045,78.052,77.926,77.948
2021-03-19T10:00:00Z,77.948,78.06,77.91,78.052
2021-03-19T11:00:00Z,78.052,78.052,77.951,77.991
2021-03-19T12:00:00Z,77.991,78.086,77.976,78.048
2021-03-19T13:00:00Z,78.048,78.101,77.85,77.944
2021-03-19T14:00:00Z,77.944,77.98,77.834,77.922
2021-03-19T15:00:00Z,77.922,78.006,77.856,77.984
2021-03-19T16:00:00Z,77.984,78.132,77.982,78.104
2021-03-19T17:00:00Z,78.104,78.117,78.069,78.092
2021-03-19T18:00:00Z,78.092,78.12,78.06,78.076
